feature_block,method,k,row_count,cluster_count,noise_fraction,minimum_cluster_fraction,inertia,eps,min_samples,fit_scope,silhouette_score,davies_bouldin_score,calinski_harabasz_score,min_cluster_size
reduced_context,dbscan,,4000,2,0.005,0.0022613065326633165,,4.2115,10,bounded_sample,0.394971418434192,0.8702904356124376,33.329800347524916,
reduced_context,dbscan,,4000,1,0.0155,1.0,,4.2115,25,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.03325,1.0,,4.2115,50,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.0425,1.0,,4.2115,100,bounded_sample,,,,
reduced_context,dbscan,,4000,2,0.005,0.0022613065326633165,,4.2338,10,bounded_sample,0.394971418434192,0.8702904356124376,33.329800347524916,
reduced_context,dbscan,,4000,1,0.015,1.0,,4.2338,25,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.0325,1.0,,4.2338,50,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.041,1.0,,4.2338,100,bounded_sample,,,,
reduced_context,dbscan,,4000,2,0.0045,0.0022601707684580612,,4.2716,10,bounded_sample,0.3946394798180661,0.870696426968785,33.27015605308224,
reduced_context,dbscan,,4000,1,0.0135,1.0,,4.2716,25,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.029,1.0,,4.2716,50,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.04,1.0,,4.2716,100,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.002,1.0,,4.4214,10,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.00825,1.0,,4.4214,25,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.01875,1.0,,4.4214,50,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.03025,1.0,,4.4214,100,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.00175,1.0,,4.5985,10,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.00525,1.0,,4.5985,25,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.01,1.0,,4.5985,50,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.02075,1.0,,4.5985,100,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.00175,1.0,,4.6768,10,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.00425,1.0,,4.6768,25,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.00825,1.0,,4.6768,50,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.01625,1.0,,4.6768,100,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.00175,1.0,,4.7028,10,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.00375,1.0,,4.7028,25,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.00825,1.0,,4.7028,50,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.01575,1.0,,4.7028,100,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.00175,1.0,,4.7912,10,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.0025,1.0,,4.7912,25,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.00525,1.0,,4.7912,50,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.013,1.0,,4.7912,100,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.00125,1.0,,5.087,10,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.0015,1.0,,5.087,25,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.0015,1.0,,5.087,50,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.004,1.0,,5.087,100,bounded_sample,,,,
