feature_block,method,cluster_label,row_count,row_fraction,service_degraded_mean,service_degraded_median,signal_strength_dbm_mean,signal_strength_dbm_median,download_speed_mbps_mean,download_speed_mbps_median,upload_speed_mbps_mean,upload_speed_mbps_median,latency_ms_mean,latency_ms_median,jitter_ms_mean,jitter_ms_median,ping_ms_mean,ping_ms_median,throughput_satisfaction_ratio_mean,throughput_satisfaction_ratio_median,downlink_shortfall_fraction_mean,downlink_shortfall_fraction_median,offered_downlink_mbps_mean,offered_downlink_mbps_median,offered_upload_mbps_mean,offered_upload_mbps_median,link_capacity_downlink_mbps_mean,link_capacity_downlink_mbps_median,distance_to_tower_km_mean,distance_to_tower_km_median,distance_2d_m_mean,distance_2d_m_median,path_loss_db_mean,path_loss_db_median,contextual_penalty_db_mean,contextual_penalty_db_median,interval_handover_count_mean,interval_handover_count_median,activity_factor_mean,activity_factor_median,data_usage_mb_mean,data_usage_mb_median,network_type_mode,network_type_mode_fraction,infrastructure_profile_mode,infrastructure_profile_mode_fraction,band_mode,band_mode_fraction,app_type_mode,app_type_mode_fraction,movement_speed_mode,movement_speed_mode_fraction,weather_mode,weather_mode_fraction,obstruction_level_mode,obstruction_level_mode_fraction,congestion_level_mode,congestion_level_mode_fraction,tower_load_mode,tower_load_mode_fraction,time_of_day_bin_mode,time_of_day_bin_mode_fraction
reduced_context,kmeans,0,16181,0.32362,0.10846054013966998,0.0,-77.1534521970212,-79.14,127.49654038687349,84.13,13.736512576478585,3.33,56.88604288980904,53.47,0.11832396020023486,0.09,56.89436375996539,53.4,0.8355642775909901,0.9462154007608552,0.17046807127067284,0.0537845992391448,222.3149137877758,100.4,18.17083678388233,3.62,328.31568135467523,299.93,0.3453702490575366,0.29,345.3694870527161,290.0,110.5572096903776,112.62,10.325443421296582,8.0,0.5592979420307769,0.0,0.10087664544836536,0.101,96.40857363574563,61.11,5G SA,0.4363141956615784,Nominal,0.7395711019096471,n78,0.3360731722390458,Streaming,0.2901551202027069,Static,0.5376676348804154,Clear,0.7407453185835239,Low,0.5328471664297633,Medium,0.47011927569371487,Light,0.5372968296149805,night,0.27723873679006245
reduced_context,kmeans,1,33819,0.67638,0.697921286850587,1.0,-106.84207220793046,-105.77,21.736919483130784,8.59,2.973988881989414,0.68,169.7821082823265,153.69,0.3865483899583075,0.3,169.79956237617907,153.9,0.41557218492390124,0.2204624643649033,0.5868672477454746,0.7795375356350966,160.5422002424673,60.04,13.528097814837812,2.15,43.496535970903935,15.61,0.7670052928826991,0.66,767.0056332239274,660.0,135.83611461013038,136.24,15.063189331440906,12.0,0.6003725716313315,0.0,0.09949963038528639,0.1,15.88457346462048,6.17,5G NSA,0.3812649693959017,Nominal,0.7579467163428841,LTE_Anchor,0.29643100032526093,Call,0.2636683521097608,Static,0.4889559123569591,Clear,0.685236109879062,Medium,0.41535823058044297,High,0.42139034270676246,Light,0.4850232118040155,morning,0.2621011857240013
reduced_context,hierarchical,0,1958,0.3916,0.20684371807967314,0.0,-80.54722676200204,-82.495,100.2185546475996,50.53,9.852844739530132,2.05,80.04367722165476,67.445,0.17559754851889683,0.12,80.0488253319714,67.6,0.7981312826524289,0.9408311516708242,0.20745277460936928,0.0591688483291757,179.16225740551582,70.67,12.101976506639428,2.46,267.31007150153215,194.435,0.4058549540347293,0.3455,405.8515474974464,345.625,114.67158835546475,117.285,9.630745658835547,8.0,0.5760980592441267,0.0,0.10191470888661902,0.102,76.9491062308478,36.73,5G SA,0.36363636363636365,Nominal,0.7364657814096016,n78,0.2895812053115424,Gaming,0.26200204290091933,Static,0.5163432073544433,Clear,0.7558733401430031,Low,0.5423901940755873,Medium,0.4274770173646578,Light,0.5051072522982636,night,0.2814096016343207
reduced_context,hierarchical,1,3042,0.6084,0.703155818540434,1.0,-108.47892833662065,-107.54,24.51091715976331,8.425,3.878583168967785,0.64,168.21023668639054,151.21499999999997,0.3830999342537804,0.29,168.3182445759369,151.7,0.38986973008798353,0.17632885230045242,0.6122604685400505,0.8236711476995475,173.25901709401708,66.89500000000001,16.58799474030243,2.2,50.20971071663379,13.925,0.7761692965154502,0.67,776.1672616699539,670.0,136.23905325443786,137.375,16.265285996055226,14.0,0.6005917159763313,0.0,0.09835963182117027,0.099,17.412120315581852,5.885,5G NSA,0.40368178829717294,Nominal,0.7518080210387903,n78,0.326758711374096,Call,0.2603550295857988,Static,0.49737015121630507,Clear,0.6877054569362262,Medium,0.40203813280736356,Medium,0.4349112426035503,Light,0.5019723865877712,morning,0.25443786982248523
reduced_context,gaussian_mixture,0,4123,0.08246,0.2767402376910017,0.0,-81.10067669172932,-81.14,130.75609022556392,63.19,15.691763279165656,2.98,76.05546446762067,60.32,0.17530439000727624,0.11,76.09740480232841,60.5,0.6866057296756297,0.9151414309484192,0.31799270003565494,0.0848585690515807,286.32485326218773,133.42,33.74043172447247,5.91,265.2266941547417,196.79,0.3542236235750667,0.159,354.22621392190155,159.5,106.90147465437789,105.18,17.10089740480233,14.0,1.0623332524860538,0.0,0.10203322823187,0.102,102.39232112539413,47.04,5G SA,0.5088527771040504,Nominal,0.7707979626485568,n78,0.2677661896677177,Streaming,0.36454038321610477,Static,0.4067426631093864,Clear,0.7186514673781227,Low,0.3621149648314334,Medium,0.4860538442881397,Light,0.5389279650739752,night,0.2842590346834829
reduced_context,gaussian_mixture,1,37380,0.7476,0.4561262707330123,0.0,-94.8784368646335,-95.99,57.574184323167465,20.05,6.493466559657571,1.17,124.9997271268058,111.57499999999999,0.2740227394328518,0.2,125.00558319957197,111.7,0.6027650746218213,0.8464348249849818,0.4012557026013628,0.15356517501501826,171.90589593365436,67.56,13.668419208132692,2.39,147.31629266987696,62.644999999999996,0.6449871054039593,0.51,644.9873766720171,510.0,128.75170733012305,130.225,10.091225254146602,10.0,0.46040663456393793,0.0,0.09973582129481005,0.1,42.700572231139645,14.48,5G NSA,0.394649545211343,Nominal,0.744943820224719,n78,0.3126538255751739,Gaming,0.2536383092562868,Static,0.5348582129481005,Clear,0.703103263777421,Low,0.5088282504012841,Medium,0.42661851257356875,Light,0.4993044408774746,morning,0.2522739432851792
reduced_context,gaussian_mixture,2,8497,0.16994,0.8434741673531835,1.0,-115.42638460633165,-116.11,12.582326703542426,3.5,1.8153371778274685,0.37,197.27759209132634,181.73,0.47328821937154286,0.37,197.31679416264564,182.6,0.26035864244144136,0.0502408499527303,0.7409185885899744,0.9497591500472696,167.15246910674355,66.0,11.944420383664822,2.24,21.569107920442512,4.52,0.7011540543721314,0.56,701.1515075909144,560.0,132.90269153818994,134.01,26.92491467576792,30.0,0.9137342591502884,0.0,0.09985347769801105,0.1,9.282875132399669,2.54,5G NSA,0.3870777921619395,Nominal,0.7739202071319289,n78,0.3141108626574085,Browse,0.25797340237730965,Walking,0.44015534894668706,Clear,0.6961280451924209,High,0.7918088737201365,Medium,0.43815464281511124,Light,0.4955866776509356,morning,0.26668235847946337
