feature_block,method,cluster_label,row_count,row_fraction,service_degraded_mean,service_degraded_median,signal_strength_dbm_mean,signal_strength_dbm_median,download_speed_mbps_mean,download_speed_mbps_median,upload_speed_mbps_mean,upload_speed_mbps_median,latency_ms_mean,latency_ms_median,jitter_ms_mean,jitter_ms_median,ping_ms_mean,ping_ms_median,throughput_satisfaction_ratio_mean,throughput_satisfaction_ratio_median,downlink_shortfall_fraction_mean,downlink_shortfall_fraction_median,offered_downlink_mbps_mean,offered_downlink_mbps_median,offered_upload_mbps_mean,offered_upload_mbps_median,link_capacity_downlink_mbps_mean,link_capacity_downlink_mbps_median,distance_to_tower_km_mean,distance_to_tower_km_median,distance_2d_m_mean,distance_2d_m_median,path_loss_db_mean,path_loss_db_median,contextual_penalty_db_mean,contextual_penalty_db_median,interval_handover_count_mean,interval_handover_count_median,activity_factor_mean,activity_factor_median,data_usage_mb_mean,data_usage_mb_median,network_type_mode,network_type_mode_fraction,infrastructure_profile_mode,infrastructure_profile_mode_fraction,band_mode,band_mode_fraction,app_type_mode,app_type_mode_fraction,movement_speed_mode,movement_speed_mode_fraction,weather_mode,weather_mode_fraction,obstruction_level_mode,obstruction_level_mode_fraction,congestion_level_mode,congestion_level_mode_fraction,tower_load_mode,tower_load_mode_fraction,time_of_day_bin_mode,time_of_day_bin_mode_fraction
reduced_context,gaussian_mixture,0,4123,0.08246,0.2767402376910017,0.0,-81.10067669172932,-81.14,130.75609022556392,63.19,15.691763279165656,2.98,76.05546446762067,60.32,0.17530439000727624,0.11,76.09740480232841,60.5,0.6866057296756297,0.9151414309484192,0.31799270003565494,0.0848585690515807,286.32485326218773,133.42,33.74043172447247,5.91,265.2266941547417,196.79,0.3542236235750667,0.159,354.22621392190155,159.5,106.90147465437789,105.18,17.10089740480233,14.0,1.0623332524860538,0.0,0.10203322823187,0.102,102.39232112539413,47.04,5G SA,0.5088527771040504,Nominal,0.7707979626485568,n78,0.2677661896677177,Streaming,0.36454038321610477,Static,0.4067426631093864,Clear,0.7186514673781227,Low,0.3621149648314334,Medium,0.4860538442881397,Light,0.5389279650739752,night,0.2842590346834829
reduced_context,gaussian_mixture,1,37380,0.7476,0.4561262707330123,0.0,-94.8784368646335,-95.99,57.574184323167465,20.05,6.493466559657571,1.17,124.9997271268058,111.57499999999999,0.2740227394328518,0.2,125.00558319957197,111.7,0.6027650746218213,0.8464348249849818,0.4012557026013628,0.15356517501501826,171.90589593365436,67.56,13.668419208132692,2.39,147.31629266987696,62.644999999999996,0.6449871054039593,0.51,644.9873766720171,510.0,128.75170733012305,130.225,10.091225254146602,10.0,0.46040663456393793,0.0,0.09973582129481005,0.1,42.700572231139645,14.48,5G NSA,0.394649545211343,Nominal,0.744943820224719,n78,0.3126538255751739,Gaming,0.2536383092562868,Static,0.5348582129481005,Clear,0.703103263777421,Low,0.5088282504012841,Medium,0.42661851257356875,Light,0.4993044408774746,morning,0.2522739432851792
reduced_context,gaussian_mixture,2,8497,0.16994,0.8434741673531835,1.0,-115.42638460633165,-116.11,12.582326703542426,3.5,1.8153371778274685,0.37,197.27759209132634,181.73,0.47328821937154286,0.37,197.31679416264564,182.6,0.26035864244144136,0.0502408499527303,0.7409185885899744,0.9497591500472696,167.15246910674355,66.0,11.944420383664822,2.24,21.569107920442512,4.52,0.7011540543721314,0.56,701.1515075909144,560.0,132.90269153818994,134.01,26.92491467576792,30.0,0.9137342591502884,0.0,0.09985347769801105,0.1,9.282875132399669,2.54,5G NSA,0.3870777921619395,Nominal,0.7739202071319289,n78,0.3141108626574085,Browse,0.25797340237730965,Walking,0.44015534894668706,Clear,0.6961280451924209,High,0.7918088737201365,Medium,0.43815464281511124,Light,0.4955866776509356,morning,0.26668235847946337
