feature_block,method,cluster_label,row_count,row_fraction,service_degraded_mean,service_degraded_median,signal_strength_dbm_mean,signal_strength_dbm_median,download_speed_mbps_mean,download_speed_mbps_median,upload_speed_mbps_mean,upload_speed_mbps_median,latency_ms_mean,latency_ms_median,jitter_ms_mean,jitter_ms_median,ping_ms_mean,ping_ms_median,throughput_satisfaction_ratio_mean,throughput_satisfaction_ratio_median,downlink_shortfall_fraction_mean,downlink_shortfall_fraction_median,offered_downlink_mbps_mean,offered_downlink_mbps_median,offered_upload_mbps_mean,offered_upload_mbps_median,link_capacity_downlink_mbps_mean,link_capacity_downlink_mbps_median,distance_to_tower_km_mean,distance_to_tower_km_median,distance_2d_m_mean,distance_2d_m_median,path_loss_db_mean,path_loss_db_median,contextual_penalty_db_mean,contextual_penalty_db_median,interval_handover_count_mean,interval_handover_count_median,activity_factor_mean,activity_factor_median,data_usage_mb_mean,data_usage_mb_median,network_type_mode,network_type_mode_fraction,infrastructure_profile_mode,infrastructure_profile_mode_fraction,band_mode,band_mode_fraction,app_type_mode,app_type_mode_fraction,movement_speed_mode,movement_speed_mode_fraction,weather_mode,weather_mode_fraction,obstruction_level_mode,obstruction_level_mode_fraction,congestion_level_mode,congestion_level_mode_fraction,tower_load_mode,tower_load_mode_fraction,time_of_day_bin_mode,time_of_day_bin_mode_fraction
reduced_context,hierarchical,0,1958,0.3916,0.20684371807967314,0.0,-80.54722676200204,-82.495,100.2185546475996,50.53,9.852844739530132,2.05,80.04367722165476,67.445,0.17559754851889683,0.12,80.0488253319714,67.6,0.7981312826524289,0.9408311516708242,0.20745277460936928,0.0591688483291757,179.16225740551582,70.67,12.101976506639428,2.46,267.31007150153215,194.435,0.4058549540347293,0.3455,405.8515474974464,345.625,114.67158835546475,117.285,9.630745658835547,8.0,0.5760980592441267,0.0,0.10191470888661902,0.102,76.9491062308478,36.73,5G SA,0.36363636363636365,Nominal,0.7364657814096016,n78,0.2895812053115424,Gaming,0.26200204290091933,Static,0.5163432073544433,Clear,0.7558733401430031,Low,0.5423901940755873,Medium,0.4274770173646578,Light,0.5051072522982636,night,0.2814096016343207
reduced_context,hierarchical,1,3042,0.6084,0.703155818540434,1.0,-108.47892833662065,-107.54,24.51091715976331,8.425,3.878583168967785,0.64,168.21023668639054,151.21499999999997,0.3830999342537804,0.29,168.3182445759369,151.7,0.38986973008798353,0.17632885230045242,0.6122604685400505,0.8236711476995475,173.25901709401708,66.89500000000001,16.58799474030243,2.2,50.20971071663379,13.925,0.7761692965154502,0.67,776.1672616699539,670.0,136.23905325443786,137.375,16.265285996055226,14.0,0.6005917159763313,0.0,0.09835963182117027,0.099,17.412120315581852,5.885,5G NSA,0.40368178829717294,Nominal,0.7518080210387903,n78,0.326758711374096,Call,0.2603550295857988,Static,0.49737015121630507,Clear,0.6877054569362262,Medium,0.40203813280736356,Medium,0.4349112426035503,Light,0.5019723865877712,morning,0.25443786982248523
