experiment_name,experiment_label,model_name,bin_index,bin_lower,bin_upper,sample_count,mean_predicted_probability,observed_degradation_fraction
full_context,Full operating-context feature set,random_forest,2,0.1,0.2,847,0.14531771310501623,0.018890200708382526
full_context,Full operating-context feature set,random_forest,3,0.2,0.30000000000000004,491,0.2461261503084554,0.07128309572301425
full_context,Full operating-context feature set,random_forest,4,0.30000000000000004,0.4,386,0.3475668527166666,0.2616580310880829
full_context,Full operating-context feature set,random_forest,5,0.4,0.5,306,0.4526223803307936,0.4673202614379085
full_context,Full operating-context feature set,random_forest,6,0.5,0.6000000000000001,306,0.5494363218153697,0.6993464052287581
full_context,Full operating-context feature set,random_forest,7,0.6000000000000001,0.7000000000000001,346,0.65253331585579,0.8121387283236994
full_context,Full operating-context feature set,random_forest,8,0.7000000000000001,0.8,452,0.7510944149453033,0.9004424778761062
full_context,Full operating-context feature set,random_forest,9,0.8,0.9,620,0.855116997703966,0.9822580645161291
full_context,Full operating-context feature set,random_forest,10,0.9,1.0,3210,0.9736630093754336,0.9996884735202493
full_context,Full operating-context feature set,adaboost,1,0.0,0.1,0,,
full_context,Full operating-context feature set,adaboost,2,0.1,0.2,3066,0.15728222319673898,0.018590998043052837
full_context,Full operating-context feature set,adaboost,3,0.2,0.30000000000000004,1295,0.2519250162876866,0.24247104247104248
full_context,Full operating-context feature set,adaboost,4,0.30000000000000004,0.4,741,0.352378726192221,0.41970310391363025
full_context,Full operating-context feature set,adaboost,5,0.4,0.5,734,0.4535591856997798,0.55858310626703
full_context,Full operating-context feature set,adaboost,6,0.5,0.6000000000000001,382,0.5470650920424214,0.8403141361256544
full_context,Full operating-context feature set,adaboost,7,0.6000000000000001,0.7000000000000001,529,0.6714205057023999,0.8071833648393195
full_context,Full operating-context feature set,adaboost,8,0.7000000000000001,0.8,486,0.7685898689197097,0.9526748971193416
full_context,Full operating-context feature set,adaboost,9,0.8,0.9,2767,0.8339306411820954,0.9822912902059993
full_context,Full operating-context feature set,adaboost,10,0.9,1.0,0,,
full_context,Full operating-context feature set,hist_gradient_boosting,1,0.0,0.1,4633,0.015685523427400993,0.004316857327865314
full_context,Full operating-context feature set,hist_gradient_boosting,2,0.1,0.2,153,0.14266878138578792,0.13071895424836602
full_context,Full operating-context feature set,hist_gradient_boosting,3,0.2,0.30000000000000004,67,0.24328085180756256,0.16417910447761194
full_context,Full operating-context feature set,hist_gradient_boosting,4,0.30000000000000004,0.4,76,0.3424088345872674,0.3684210526315789
full_context,Full operating-context feature set,hist_gradient_boosting,5,0.4,0.5,66,0.4491895311414372,0.4090909090909091
full_context,Full operating-context feature set,hist_gradient_boosting,6,0.5,0.6000000000000001,74,0.5458728444841047,0.5405405405405406
full_context,Full operating-context feature set,hist_gradient_boosting,7,0.6000000000000001,0.7000000000000001,58,0.6487518174791552,0.6896551724137931
full_context,Full operating-context feature set,hist_gradient_boosting,8,0.7000000000000001,0.8,70,0.7548096934007883,0.7714285714285715
full_context,Full operating-context feature set,hist_gradient_boosting,9,0.8,0.9,136,0.8582769562505177,0.8823529411764706
full_context,Full operating-context feature set,hist_gradient_boosting,10,0.9,1.0,4667,0.9878953351478572,0.9987143775444611
full_context,Full operating-context feature set,xgboost,1,0.0,0.1,4210,0.02055184839679384,0.003800475059382423
full_context,Full operating-context feature set,xgboost,2,0.1,0.2,341,0.14128062559450127,0.04105571847507331
full_context,Full operating-context feature set,xgboost,3,0.2,0.30000000000000004,202,0.24276325586113598,0.11386138613861387
full_context,Full operating-context feature set,xgboost,4,0.30000000000000004,0.4,141,0.3485485630255219,0.2765957446808511
full_context,Full operating-context feature set,xgboost,5,0.4,0.5,117,0.4509372189004197,0.4188034188034188
full_context,Full operating-context feature set,xgboost,6,0.5,0.6000000000000001,101,0.5487073518262051,0.5841584158415841
full_context,Full operating-context feature set,xgboost,7,0.6000000000000001,0.7000000000000001,134,0.6485905077920031,0.7686567164179104
full_context,Full operating-context feature set,xgboost,8,0.7000000000000001,0.8,170,0.754802844804876,0.8941176470588236
full_context,Full operating-context feature set,xgboost,9,0.8,0.9,376,0.8581849037015692,0.9574468085106383
