service_state_id,congestion_level,tower_load,video_quality_label,vonr_enabled,anomalous,dropped_connection
service_state_be66f7ad24e6,Medium,Moderate,Poor,False,True,False
service_state_b2d938966e22,Medium,Moderate,Poor,False,True,True
service_state_995011fb1744,Medium,Moderate,,False,False,False
service_state_0a475b435aaf,Medium,Moderate,,False,False,True
service_state_a04d03a618a0,Medium,Moderate,,False,True,False
service_state_9a75f811ea9b,Medium,Moderate,,False,True,True
service_state_06fd1c9e7cf9,Medium,Moderate,,True,False,False
service_state_9b512dd281d5,Medium,Moderate,,True,False,True
service_state_c9ede3671912,Medium,Moderate,,True,True,False
service_state_97cc650a95f8,Medium,Moderate,,True,True,True
