edge_id,source_node_id,target_node_id,edge_type,graph_view,is_directed,edge_weight,measurement_id,session_id,source_column,source_value,context_family,source_measurement_id,target_measurement_id,source_service_degraded,target_service_degraded,row_count,support_fraction,degraded_count,degradation_rate,baseline_degradation_rate,degradation_lift,source_context_family,target_context_family,source_dataset,metric,non_missing_count,non_missing_fraction,comparison_status,recommended_use,claim_scope,reference_dataset,comparison_context,median_difference,wasserstein_distance,ks_statistic,comparison_scope,source_label,target_label
edge_68270847fc16ca968e,context_cooccurrence:context_value:application_call:285b8de10ee6,context_cooccurrence:context_value:infrastructure_severely_degraded:b1e30b31d54a,context_cooccurs,context_cooccurrence,False,658.0,,,,,,,,,,658.0,0.01316,258.0,0.39209726443769,0.50716,0.773123401762146,application,infrastructure,,,,,,,,,,,,,,application=Call,infrastructure=Severely_Degraded
edge_dd1b0d43d9d8cb5a1a,context_cooccurrence:context_value:infrastructure_severely_degraded:b1e30b31d54a,context_cooccurrence:context_value:network_type_5g_sa:ca96e299bff5,context_cooccurs,context_cooccurrence,False,880.0,,,,,,,,,,880.0,0.0176,345.0,0.3920454545454545,0.50716,0.77302124486445,infrastructure,network_type,,,,,,,,,,,,,,infrastructure=Severely_Degraded,network_type=5G SA
edge_50a5a6818c0d8840ce,context_cooccurrence:context_value:congestion_medium:1096e9812b9e,context_cooccurrence:context_value:mobility_static:d34206ea58e5,context_cooccurs,context_cooccurrence,False,10788.0,,,,,,,,,,10788.0,0.21576,4209.0,0.3901557285873192,0.50716,0.7692951506177916,congestion,mobility,,,,,,,,,,,,,,congestion=Medium,mobility=Static
edge_6b9db3918cfa51b785,context_cooccurrence:context_value:radio_band_n41:efc4ef114f74,context_cooccurrence:context_value:weather_clear:8bab34b7cb82,context_cooccurs,context_cooccurrence,False,1430.0,,,,,,,,,,1430.0,0.0286,557.0,0.3895104895104895,0.50716,0.7680228912187268,radio_band,weather,,,,,,,,,,,,,,radio_band=n41,weather=Clear
edge_7bb17724ada445ea62,context_cooccurrence:context_value:application_call:285b8de10ee6,context_cooccurrence:context_value:infrastructure_nominal:86f0c6eb721b,context_cooccurs,context_cooccurrence,False,9309.0,,,,,,,,,,9309.0,0.18618,3625.0,0.3894080996884735,0.50716,0.7678210026194366,application,infrastructure,,,,,,,,,,,,,,application=Call,infrastructure=Nominal
edge_236014391af462b8a3,context_cooccurrence:context_value:infrastructure_moderately_degraded:76839948dcb8,context_cooccurrence:context_value:obstruction_low:6baf2e76a3c7,context_cooccurs,context_cooccurrence,False,4330.0,,,,,,,,,,4330.0,0.0866,1686.0,0.3893764434180138,0.50716,0.7677585839143738,infrastructure,obstruction,,,,,,,,,,,,,,infrastructure=Moderately_Degraded,obstruction=Low
edge_60889a57b363fa9b21,context_cooccurrence:context_value:infrastructure_nominal:86f0c6eb721b,context_cooccurrence:context_value:network_type_5g_sa:ca96e299bff5,context_cooccurs,context_cooccurrence,False,13340.0,,,,,,,,,,13340.0,0.2668,5183.0,0.3885307346326836,0.50716,0.7660910454938947,infrastructure,network_type,,,,,,,,,,,,,,infrastructure=Nominal,network_type=5G SA
edge_95b613e2604c76f659,context_cooccurrence:context_value:radio_band_n78:7ccd8ccc28c3,context_cooccurrence:context_value:time_bin_night:908d2968c559,context_cooccurs,context_cooccurrence,False,3985.0,,,,,,,,,,3985.0,0.0797,1548.0,0.3884567126725219,0.50716,0.7659450916328613,radio_band,time_bin,,,,,,,,,,,,,,radio_band=n78,time_bin=night
edge_51d3eeb67cbb8c9d45,context_cooccurrence:context_value:network_type_5g_sa:ca96e299bff5,context_cooccurrence:context_value:radio_band_n78:7ccd8ccc28c3,context_cooccurs,context_cooccurrence,False,7590.0,,,,,,,,,,7590.0,0.1518,2943.0,0.3877470355731225,0.50716,0.7645457756390931,network_type,radio_band,,,,,,,,,,,,,,network_type=5G SA,radio_band=n78
edge_13b6446f7fe11d9e18,context_cooccurrence:context_value:congestion_medium:1096e9812b9e,context_cooccurrence:context_value:radio_band_n78:7ccd8ccc28c3,context_cooccurs,context_cooccurrence,False,6696.0,,,,,,,,,,6696.0,0.13392,2587.0,0.3863500597371565,0.50716,0.7617912685092604,congestion,radio_band,,,,,,,,,,,,,,congestion=Medium,radio_band=n78
edge_3ba4c9944de26c5184,context_cooccurrence:context_value:application_call:285b8de10ee6,context_cooccurrence:context_value:time_bin_afternoon:e0d493798a7a,context_cooccurs,context_cooccurrence,False,3061.0,,,,,,,,,,3061.0,0.06122,1182.0,0.3861483175432865,0.50716,0.761393480446578,application,time_bin,,,,,,,,,,,,,,application=Call,time_bin=afternoon
edge_c98e6dc7d82c7d2633,context_cooccurrence:context_value:obstruction_medium:3ea6ce2a44a8,context_cooccurrence:context_value:radio_band_n41:efc4ef114f74,context_cooccurs,context_cooccurrence,False,870.0,,,,,,,,,,870.0,0.0174,335.0,0.3850574712643678,0.50716,0.7592425886591366,obstruction,radio_band,,,,,,,,,,,,,,obstruction=Medium,radio_band=n41
