source_dataset,metric,column_name,value
campus_qos,non_missing_count,latency_ms,0.0
campus_qos,missing_fraction,latency_ms,1.0
campus_qos,non_missing_count,jitter_ms,302.0
campus_qos,missing_fraction,jitter_ms,0.0
campus_qos,mean,jitter_ms,0.25670787122974936
campus_qos,std,jitter_ms,0.39146901001045004
campus_qos,min,jitter_ms,0.0617368102390917
campus_qos,q25,jitter_ms,0.12364784260518699
campus_qos,median,jitter_ms,0.188895575126735
campus_qos,q75,jitter_ms,0.27885515873729627
campus_qos,max,jitter_ms,5.24429452464228
campus_qos,non_missing_count,packet_loss_fraction,302.0
campus_qos,missing_fraction,packet_loss_fraction,0.0
campus_qos,mean,packet_loss_fraction,0.3372863688943883
campus_qos,std,packet_loss_fraction,0.15402502890092898
campus_qos,min,packet_loss_fraction,0.047202439546845
campus_qos,q25,packet_loss_fraction,0.21672063409394424
campus_qos,median,packet_loss_fraction,0.35520807320492953
campus_qos,q75,packet_loss_fraction,0.4503666664234945
campus_qos,max,packet_loss_fraction,0.864672078765618
campus_qos,non_missing_count,offered_downlink_mbps,302.0
campus_qos,missing_fraction,offered_downlink_mbps,0.0
campus_qos,mean,offered_downlink_mbps,112.99668874172185
campus_qos,std,offered_downlink_mbps,37.55894577332799
campus_qos,min,offered_downlink_mbps,75.0
campus_qos,q25,offered_downlink_mbps,75.0
campus_qos,median,offered_downlink_mbps,150.0
campus_qos,q75,offered_downlink_mbps,150.0
campus_qos,max,offered_downlink_mbps,150.0
campus_qos,non_missing_count,offered_upload_mbps,302.0
campus_qos,missing_fraction,offered_upload_mbps,0.0
campus_qos,mean,offered_upload_mbps,37.66556291390729
campus_qos,std,offered_upload_mbps,12.519648591109332
campus_qos,min,offered_upload_mbps,25.0
campus_qos,q25,offered_upload_mbps,25.0
campus_qos,median,offered_upload_mbps,50.0
campus_qos,q75,offered_upload_mbps,50.0
campus_qos,max,offered_upload_mbps,50.0
campus_qos,non_missing_count,speed_raw,0.0
campus_qos,missing_fraction,speed_raw,1.0
ucc_5g_context,row_count,,188711.0
ucc_5g_context,non_missing_count,frequency_ghz,0.0
ucc_5g_context,missing_fraction,frequency_ghz,1.0
ucc_5g_context,non_missing_count,rsrp_dbm,188711.0
ucc_5g_context,missing_fraction,rsrp_dbm,0.0
ucc_5g_context,mean,rsrp_dbm,-89.885873107556
ucc_5g_context,std,rsrp_dbm,12.60987806004872
ucc_5g_context,min,rsrp_dbm,-200.0
ucc_5g_context,q25,rsrp_dbm,-100.0
ucc_5g_context,median,rsrp_dbm,-93.0
ucc_5g_context,q75,rsrp_dbm,-81.0
ucc_5g_context,max,rsrp_dbm,-48.0
ucc_5g_context,non_missing_count,rsrq_db,185077.0
ucc_5g_context,missing_fraction,rsrq_db,0.019256959053791246
ucc_5g_context,mean,rsrq_db,-11.485165633763245
ucc_5g_context,std,rsrq_db,3.86993282807852
ucc_5g_context,min,rsrq_db,-26.0
ucc_5g_context,q25,rsrq_db,-14.0
ucc_5g_context,median,rsrq_db,-12.0
ucc_5g_context,q75,rsrq_db,-10.0
ucc_5g_context,max,rsrq_db,7.0
ucc_5g_context,non_missing_count,rssi_dbm,135138.0
