algorithm,transaction_count,frequent_itemset_count,rule_count,degradation_rule_count,min_support,min_confidence,max_itemset_length,label_definition_families_excluded_from_degradation_rules,max_lift_degradation_rule,median_lift_degradation_rule
apriori,50000,4028,3112,121,0.05,0.6,3,downlink_shortfall_fraction;dropped_connection;jitter_ms;latency_ms;throughput_satisfaction_ratio;video_quality_label,1.9717643347267133,1.3675547153741257
fp_growth,50000,4028,3112,121,0.05,0.6,3,downlink_shortfall_fraction;dropped_connection;jitter_ms;latency_ms;throughput_satisfaction_ratio;video_quality_label,1.9717643347267133,1.3675547153741257
